,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
277062,31647185,34240350,8000,8000,8000.0, 36 months,6.49,245.16,A,A2,GM,10+ years,MORTGAGE,68000.0,Not Verified,Oct-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=31647185,,debt_consolidation,Debt consolidation,294xx,SC,20.14,0.0,Aug-90,0.0,33.0,,12.0,0.0,50644,81.6,27.0,w,5071.95,5071.95,3429.36,3429.36,2928.05,501.31,0.0,0.0,0.0,Jan-16,245.16,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,171300.0,,,,,,,,,,,,62100.0,,,
84079,7634653,9316798,6000,6000,6000.0, 36 months,15.61,209.79,C,C3,Installer,1 year,OWN,39000.0,Verified,Oct-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=7634653,,debt_consolidation,Debt consolidation loan,481xx,MI,6.71,0.0,May-01,1.0,61.0,62.0,6.0,1.0,5662,69.0,30.0,f,0.0,0.0,7110.920837000001,7110.92,6000.0,1110.92,0.0,0.0,0.0,Mar-15,3755.64,,Jan-16,0.0,61.0,1,INDIVIDUAL,,,,0.0,0.0,8416.0,,,,,,,,,,,,8200.0,,,
318281,24304866,26707767,15950,15950,15950.0, 60 months,24.5,463.49,F,F3,Teacher,10+ years,OWN,40000.0,Source Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24304866,,debt_consolidation,Debt consolidation,389xx,MS,23.04,1.0,Oct-94,0.0,7.0,,17.0,0.0,14764,88.2,45.0,w,13372.35,13372.35,7415.84,7415.84,2577.65,4838.19,0.0,0.0,0.0,Dec-15,463.49,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,29261.0,,,,,,,,,,,,16500.0,,,
60951,8956670,10748720,13500,13500,13450.0, 60 months,16.2,329.74,C,C4,Control Operater Trainee,6 years,MORTGAGE,113000.0,Source Verified,Nov-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8956670,,credit_card, credit loan,852xx,AZ,11.07,2.0,Jan-02,0.0,11.0,,10.0,0.0,19513,57.4,23.0,f,9148.81,9114.92,8243.32,8212.79,4351.19,3892.13,0.0,0.0,0.0,Dec-15,329.74,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,277754.0,,,,,,,,,,,,34000.0,,,
433820,12487694,14499815,7025,7025,7025.0, 36 months,15.61,245.63,C,C5,Sales,< 1 year,RENT,45000.0,Not Verified,Mar-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12487694,,credit_card,Credit card refinancing,851xx,AZ,14.53,0.0,Mar-01,2.0,62.0,35.0,6.0,1.0,4624,80.0,24.0,w,0.0,0.0,8247.89,8247.89,7025.0,1222.89,0.0,0.0,0.0,Jul-15,4563.44,,Jul-15,0.0,89.0,1,INDIVIDUAL,,,,0.0,0.0,7878.0,,,,,,,,,,,,5750.0,,,
139879,5027236,6329483,5100,5100,5100.0, 36 months,7.62,158.93,A,A3,,,MORTGAGE,28000.0,Source Verified,May-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5027236,"  Borrower added on 05/06/13 > To pay off a Benefical high rate load (27+ percent) I am presently paying twice the minimum due each month and have regularly done so for an extended period of time. Even at the double int. rate, I will be lucky to pay this loan off in my lifetime! I need a fixed term loan and this appears to be it!<br>",credit_card,Fixed Term,973xx,OR,24.39,0.0,Sep-70,0.0,40.0,,8.0,0.0,12358,57.2,21.0,f,628.43,628.43,5078.49,5078.49,4471.57,606.92,0.0,0.0,0.0,Jan-16,158.93,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,17226.0,,,,,,,,,,,,21600.0,,,
292194,29284715,31827948,25000,25000,25000.0, 60 months,20.99,676.2,E,E4,Engineer,6 years,MORTGAGE,104000.0,Source Verified,Oct-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=29284715,,debt_consolidation,Debt consolidation,608xx,IL,13.22,0.0,Dec-00,2.0,74.0,,11.0,0.0,15618,48.1,26.0,w,0.0,0.0,29394.98,29394.98,25000.0,4394.98,0.0,0.0,0.0,Aug-15,23338.33,,Sep-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,203442.0,,,,,,,,,,,,32500.0,,,
392239,16061141,18163642,29000,29000,29000.0, 36 months,10.99,949.29,B,B3,President/CEO,10+ years,MORTGAGE,200000.0,Source Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=16061141,,credit_card,Credit card refinancing,330xx,FL,9.64,0.0,Apr-74,2.0,,61.0,17.0,4.0,18955,49.5,32.0,w,14068.35,14068.35,18985.8,18985.8,14931.65,4054.15,0.0,0.0,0.0,Jan-16,949.29,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,535.0,456180.0,,,,,,,,,,,,38300.0,,,
227126,1126070,1364254,10000,10000,10000.0, 36 months,8.9,317.54,A,A5,,10+ years,MORTGAGE,154000.0,Source Verified,Feb-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1126070,  Borrower added on 02/01/12 > This loan will be used for the purchase of an engagement ring and other wedding related expenses.<br>,wedding,Personal Loan,220xx,VA,7.32,1.0,Nov-02,0.0,11.0,,10.0,0.0,5562,24.0,33.0,f,0.0,0.0,11429.1855,11429.19,10000.0,1429.19,0.0,0.0,0.0,Feb-15,327.05,,Feb-15,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
315972,25376683,27819534,16375,16375,16375.0, 60 months,19.52,429.48,E,E2,Pricing Accuracy Coordinator,10+ years,MORTGAGE,49926.0,Not Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=25376683,,debt_consolidation,Debt consolidation,058xx,VT,19.95,1.0,Feb-02,1.0,23.0,,9.0,0.0,21201,93.0,21.0,w,13421.29,13421.29,6871.68,6871.68,2953.71,3917.97,0.0,0.0,0.0,Dec-15,429.48,Jan-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,426.0,142771.0,,,,,,,,,,,,22800.0,,,
252941,34763372,37456693,28000,28000,28000.0, 60 months,19.24,730.04,E,E2,Pharmacy Technician ,8 years,RENT,84000.0,Source Verified,Nov-14,In Grace Period,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=34763372,,debt_consolidation,Debt consolidation,940xx,CA,11.33,0.0,Dec-03,0.0,80.0,,13.0,0.0,23567,61.1,23.0,w,23972.54,23972.54,9430.66,9430.66,4027.46,5403.2,0.0,0.0,0.0,Dec-15,730.04,Feb-16,Jan-16,1.0,80.0,1,INDIVIDUAL,,,,0.0,70.0,30312.0,,,,,,,,,,,,38600.0,,,
52805,9384722,11216864,10000,10000,10000.0, 36 months,9.67,321.13,B,B1,HR Manager,1 year,MORTGAGE,88000.0,Not Verified,Dec-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=9384722,,credit_card,Credit Card Payoff,894xx,NV,19.73,0.0,Aug-92,2.0,,,17.0,0.0,10941,31.4,46.0,w,3367.24,3367.24,8028.25,8028.25,6632.76,1395.49,0.0,0.0,0.0,Jan-16,321.13,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,136322.0,,,,,,,,,,,,34800.0,,,
179543,1636154,1908408,30000,30000,30000.0, 36 months,10.16,970.28,B,B1,Olympia Medical,4 years,MORTGAGE,100000.0,Verified,Dec-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1636154,  Borrower added on 12/09/12 > home improvement<br>,home_improvement,home improvement,916xx,CA,9.07,2.0,Mar-95,0.0,15.0,,16.0,0.0,33126,64.4,48.0,f,0.0,0.0,34929.69269,34929.69,30000.0,4929.69,0.0,0.0,0.0,Dec-15,969.89,,Jan-16,0.0,16.0,1,INDIVIDUAL,,,,0.0,0.0,627548.0,,,,,,,,,,,,51400.0,,,
451084,11276071,13188241,20000,20000,19950.0, 60 months,16.24,488.92,C,C5,IT Manager,10+ years,RENT,62000.0,Verified,Jan-14,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11276071,,debt_consolidation,Debt consolidation,166xx,PA,17.89,0.0,Jan-03,1.0,,,11.0,0.0,6244,56.8,27.0,f,0.0,0.0,20538.38,20487.03,20000.0,538.38,0.0,0.0,0.0,Apr-14,20049.46,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,39999.0,,,,,,,,,,,,11000.0,,,
357075,10524601,12396752,6000,6000,6000.0, 36 months,12.99,202.14,C,C1,Heavy Equipment Operater,10+ years,MORTGAGE,60000.0,Not Verified,Jul-14,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=10524601,,credit_card,Credit card refinancing,449xx,OH,21.18,0.0,Apr-02,0.0,77.0,,15.0,0.0,7262,57.2,20.0,w,0.0,0.0,1819.26,1819.26,1289.55,529.71,0.0,0.0,0.0,Apr-15,202.14,,Dec-15,0.0,,1,INDIVIDUAL,,,,0.0,0.0,91276.0,,,,,,,,,,,,12700.0,,,
114872,6265380,7777507,20000,20000,20000.0, 60 months,15.22,478.12,C,C3,Bank of America,9 years,MORTGAGE,83000.0,Verified,Jul-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6265380,  Borrower added on 07/09/13 > I would like to combine all my debts into one monthly payment. have one lower payment than my current out going payments.<br>,debt_consolidation,combining debt loan,852xx,AZ,20.82,0.0,May-05,0.0,33.0,101.0,11.0,1.0,6838,44.4,23.0,f,0.0,0.0,20996.31,20996.31,20000.0,996.31,0.0,0.0,0.0,Nov-13,19568.55,,Dec-15,0.0,79.0,1,INDIVIDUAL,,,,0.0,926.0,203451.0,,,,,,,,,,,,15400.0,,,
224331,1173586,1415186,10000,10000,10000.0, 36 months,13.67,340.18,B,B5,Dept of Air Force,10+ years,MORTGAGE,75000.0,Source Verified,Mar-12,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1173586,  Borrower added on 03/03/12 > I want this loan to purchase a RV camper for weekend trips.<br>I would be good risk borrower as I keep on time with my creditors.<br>I my place of employment is very stable with federal government agency for many many years.<br>,major_purchase,RV Loan,060xx,CT,15.76,0.0,Aug-96,0.0,75.0,,13.0,0.0,15337,83.4,24.0,f,0.0,0.0,10742.65,10742.65,10000.0,742.65,0.0,0.0,0.0,Oct-12,8703.07,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
170937,3153833,3866544,9900,9900,9900.0, 36 months,18.49,360.35,D,D2,The Barley House,10+ years,MORTGAGE,45000.0,Not Verified,Jan-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3153833,  Borrower added on 01/15/13 > Hopefully I can save money by paying off my credit cards all at once and then just having one monthly payment.<br>,debt_consolidation,Debt consolidation,033xx,NH,18.75,0.0,Apr-00,3.0,,,13.0,0.0,9474,59.6,18.0,w,365.85,365.85,12594.7,12594.7,9534.15,3060.55,0.0,0.0,0.0,Dec-15,360.35,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,585.0,147514.0,,,,,,,,,,,,15900.0,,,
157663,3675825,4638991,15000,15000,14950.0, 36 months,17.77,540.56,D,D1,USSA,4 years,RENT,47000.0,Not Verified,Mar-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3675825,,debt_consolidation,Credit cards pay off,951xx,CA,27.55,0.0,Feb-05,2.0,,,14.0,0.0,15680,65.1,26.0,f,1058.61,1055.07,18377.17,18315.93,13941.39,4435.78,0.0,0.0,0.0,Jan-16,540.56,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,44415.0,,,,,,,,,,,,24100.0,,,
149999,4187311,5329677,12000,12000,12000.0, 36 months,13.11,404.97,B,B4,Newark &Knight,10+ years,RENT,58000.0,Not Verified,Apr-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=4187311,,debt_consolidation,Freedom,113xx,NY,7.26,0.0,Dec-90,0.0,45.0,,9.0,0.0,8924,62.8,16.0,f,1193.04,1193.04,13357.71,13357.71,10806.96,2550.75,0.0,0.0,0.0,Jan-16,404.97,Feb-16,Jan-16,0.0,53.0,1,INDIVIDUAL,,,,0.0,0.0,9517.0,,,,,,,,,,,,14200.0,,,
373404,17864192,20016735,10000,10000,10000.0, 60 months,17.57,251.61,D,D4,Marketing Director,4 years,MORTGAGE,75000.0,Not Verified,Jun-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=17864192,,other,Other,711xx,LA,34.49,0.0,Apr-97,0.0,31.0,,15.0,0.0,13526,70.4,30.0,w,7714.76,7714.76,4780.59,4780.59,2285.24,2495.35,0.0,0.0,0.0,Jan-16,251.61,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,193105.0,,,,,,,,,,,,19200.0,,,
314509,24816577,27249326,21000,21000,21000.0, 60 months,13.35,481.59,C,C2,Driver,1 year,MORTGAGE,84000.0,Source Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24816577,,home_improvement,Home improvement,161xx,PA,16.63,0.0,Aug-94,1.0,,,9.0,0.0,15606,45.1,23.0,f,16683.7,16683.7,7705.44,7705.44,4316.3,3389.14,0.0,0.0,0.0,Jan-16,481.59,Jan-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,97627.0,,,,,,,,,,,,34600.0,,,
393871,15521468,17613871,20000,20000,20000.0, 36 months,8.9,635.07,A,A5,"director, supply chain",8 years,OWN,119000.0,Source Verified,May-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15521468,,home_improvement,Home improvement,310xx,GA,13.62,0.0,Aug-01,0.0,40.0,95.0,8.0,2.0,1970,51.8,22.0,f,9547.87,9547.87,12701.4,12701.4,10452.13,2249.27,0.0,0.0,0.0,Jan-16,635.07,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,69055.0,,,,,,,,,,,,3800.0,,,
339643,22461777,24784696,5975,5975,5975.0, 36 months,14.49,205.64,C,C4,Accounting Administration,7 years,MORTGAGE,38000.0,Verified,Jul-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=22461777,,debt_consolidation,Debt consolidation,302xx,GA,26.15,0.0,May-98,3.0,,64.0,9.0,1.0,9051,47.0,27.0,w,3472.6,3472.6,3495.88,3495.88,2502.4,993.48,0.0,0.0,0.0,Dec-15,205.64,Feb-16,Jan-16,0.0,57.0,1,INDIVIDUAL,,,,0.0,0.0,24286.0,,,,,,,,,,,,19200.0,,,
107915,6529338,8081379,10200,10200,10200.0, 36 months,13.68,347.03,C,C1,UNGER FABRIK,1 year,MORTGAGE,115000.0,Verified,Aug-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6529338,  Borrower added on 07/26/13 > this loan is to consolidate all of my higher rated credit cards ONLY. My plan is to increase my credit score within the next year so I can purchase a home within the next 2 years.<br>,debt_consolidation,CREDIT CARD CONSOLIDATION ,902xx,CA,16.47,1.0,May-03,0.0,21.0,,17.0,0.0,16427,57.8,27.0,f,2322.11,2322.11,10063.81,10063.81,7877.89,2185.92,0.0,0.0,0.0,Jan-16,347.03,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,64529.0,,,,,,,,,,,,28400.0,,,
164025,3376467,4228922,21000,21000,20400.0, 36 months,8.9,666.82,A,A5,,10+ years,RENT,105000.0,Verified,Feb-13,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3376467,,credit_card,Debt Consolidation,949xx,CA,10.87,0.0,Aug-89,0.0,,,13.0,0.0,33983,83.3,19.0,f,1325.55,1287.85,22663.48,22015.74,19674.45,2989.03,0.0,0.0,0.0,Jan-16,666.82,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,33983.0,,,,,,,,,,,,40800.0,,,
321155,24775381,27218347,20000,20000,20000.0, 60 months,12.49,449.86,B,B5,Supervisor,2 years,MORTGAGE,73000.0,Source Verified,Aug-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=24775381,,credit_card,Credit card refinancing,906xx,CA,28.08,0.0,Oct-95,0.0,48.0,,16.0,0.0,27071,70.0,30.0,f,15815.86,15815.86,7197.76,7197.76,4184.14,3013.62,0.0,0.0,0.0,Jan-16,449.86,Feb-16,Jan-16,0.0,48.0,1,INDIVIDUAL,,,,0.0,0.0,57070.0,,,,,,,,,,,,38700.0,,,
66143,8638403,10410252,15000,15000,15000.0, 36 months,16.2,528.84,C,C4,Management Information Lead,7 years,MORTGAGE,171000.0,Not Verified,Nov-13,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8638403,,other,OtherLoan_DebtCons,301xx,GA,6.18,6.0,Nov-99,1.0,15.0,,9.0,0.0,12147,26.0,26.0,f,0.0,0.0,18033.22,18033.22,14999.96,3033.26,0.0,0.0,0.0,May-15,9043.0,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,595296.0,,,,,,,,,,,,46700.0,,,
404364,14640145,16702442,21000,21000,21000.0, 36 months,7.9,657.1,A,A4,Network Engineer,2 years,MORTGAGE,140000.0,Not Verified,Apr-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=14640145,,debt_consolidation,Debt consolidation,805xx,CO,13.95,0.0,Nov-01,0.0,,,15.0,0.0,15508,61.1,32.0,w,9356.03,9356.03,13799.1,13799.1,11643.97,2155.13,0.0,0.0,0.0,Jan-16,657.1,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,393442.0,,,,,,,,,,,,25400.0,,,
367732,19156148,21358860,35000,35000,35000.0, 60 months,17.57,880.61,D,D4,Consultant,8 years,MORTGAGE,140000.0,Verified,Jun-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19156148,,debt_consolidation,Debt consolidation,173xx,PA,17.63,0.0,Oct-88,0.0,26.0,,22.0,0.0,46720,54.6,42.0,f,27002.21,27002.21,16731.59,16731.59,7997.79,8733.8,0.0,0.0,0.0,Jan-16,880.61,Feb-16,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,0.0,269440.0,,,,,,,,,,,,85500.0,,,
13974,773354,975386,3000,3000,3000.0, 36 months,9.99,96.79,B,B1,Tufts University,1 year,RENT,45000.0,Not Verified,Jun-11,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=773354,  Borrower added on 06/02/11 > One of my credit card companies raised my APR to an extremely high rate right before the new federal rules went into effect. I&rsquo;d like to refinance the balance so I can pay it down.<br/>,credit_card,Credit Card Refinance,021xx,MA,21.12,0.0,Apr-99,2.0,,,9.0,0.0,6800,90.7,23.0,f,0.0,0.0,3482.070438,3482.07,3000.0,482.07,0.0,0.0,0.0,Jun-14,109.14,,Jan-16,0.0,,1,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
